Date,value,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,value_lag_6,value_lag_7
28-02-23,0.71,0.71,0.71,0.71,0.71,5.86,5.86,5.86
01-03-23,0.71,0.71,0.71,0.71,0.71,0.71,5.86,5.86
02-03-23,0.71,0.71,0.71,0.71,0.71,0.71,0.71,5.86
03-03-23,3.43,0.71,0.71,0.71,0.71,0.71,0.71,0.71
04-03-23,3.43,3.43,0.71,0.71,0.71,0.71,0.71,0.71
05-03-23,3.43,3.43,3.43,0.71,0.71,0.71,0.71,0.71
06-03-23,3.43,3.43,3.43,3.43,0.71,0.71,0.71,0.71
07-03-23,3.43,3.43,3.43,3.43,3.43,0.71,0.71,0.71
08-03-23,3.43,3.43,3.43,3.43,3.43,3.43,0.71,0.71
09-03-23,3.43,3.43,3.43,3.43,3.43,3.43,3.43,0.71
10-03-23,1.29,3.43,3.43,3.43,3.43,3.43,3.43,3.43
11-03-23,1.29,1.29,3.43,3.43,3.43,3.43,3.43,3.43
12-03-23,1.29,1.29,1.29,3.43,3.43,3.43,3.43,3.43
13-03-23,1.29,1.29,1.29,1.29,3.43,3.43,3.43,3.43
14-03-23,1.29,1.29,1.29,1.29,1.29,3.43,3.43,3.43
15-03-23,1.29,1.29,1.29,1.29,1.29,1.29,3.43,3.43
16-03-23,1.29,1.29,1.29,1.29,1.29,1.29,1.29,3.43
17-03-23,1.57,1.29,1.29,1.29,1.29,1.29,1.29,1.29
18-03-23,1.57,1.57,1.29,1.29,1.29,1.29,1.29,1.29
19-03-23,1.57,1.57,1.57,1.29,1.29,1.29,1.29,1.29
20-03-23,1.57,1.57,1.57,1.57,1.29,1.29,1.29,1.29
21-03-23,1.57,1.57,1.57,1.57,1.57,1.29,1.29,1.29
22-03-23,1.57,1.57,1.57,1.57,1.57,1.57,1.29,1.29
23-03-23,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.29
24-03-23,1.71,1.57,1.57,1.57,1.57,1.57,1.57,1.57
25-03-23,1.71,1.71,1.57,1.57,1.57,1.57,1.57,1.57
26-03-23,1.71,1.71,1.71,1.57,1.57,1.57,1.57,1.57
27-03-23,1.71,1.71,1.71,1.71,1.57,1.57,1.57,1.57
28-03-23,1.71,1.71,1.71,1.71,1.71,1.57,1.57,1.57
29-03-23,1.71,1.71,1.71,1.71,1.71,1.71,1.57,1.57
30-03-23,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.57
31-03-23,0.86,1.71,1.71,1.71,1.71,1.71,1.71,1.71
01-04-23,0.86,0.86,1.71,1.71,1.71,1.71,1.71,1.71
02-04-23,0.86,0.86,0.86,1.71,1.71,1.71,1.71,1.71
03-04-23,0.86,0.86,0.86,0.86,1.71,1.71,1.71,1.71
04-04-23,0.86,0.86,0.86,0.86,0.86,1.71,1.71,1.71
05-04-23,1.0,0.86,0.86,0.86,0.86,0.86,1.71,1.71
06-04-23,1.0,1.0,0.86,0.86,0.86,0.86,0.86,1.71
07-04-23,9.43,1.0,1.0,0.86,0.86,0.86,0.86,0.86
08-04-23,9.43,9.43,1.0,1.0,0.86,0.86,0.86,0.86
09-04-23,9.43,9.43,9.43,1.0,1.0,0.86,0.86,0.86
10-04-23,9.43,9.43,9.43,9.43,1.0,1.0,0.86,0.86
11-04-23,9.43,9.43,9.43,9.43,9.43,1.0,1.0,0.86
12-04-23,9.29,9.43,9.43,9.43,9.43,9.43,1.0,1.0
13-04-23,9.29,9.29,9.43,9.43,9.43,9.43,9.43,1.0
14-04-23,5.71,9.29,9.29,9.43,9.43,9.43,9.43,9.43
15-04-23,5.71,5.71,9.29,9.29,9.43,9.43,9.43,9.43
16-04-23,5.71,5.71,5.71,9.29,9.29,9.43,9.43,9.43
17-04-23,5.71,5.71,5.71,5.71,9.29,9.29,9.43,9.43
18-04-23,5.71,5.71,5.71,5.71,5.71,9.29,9.29,9.43
19-04-23,5.71,5.71,5.71,5.71,5.71,5.71,9.29,9.29
20-04-23,5.71,5.71,5.71,5.71,5.71,5.71,5.71,9.29
21-04-23,0.43,5.71,5.71,5.71,5.71,5.71,5.71,5.71
22-04-23,0.43,0.43,5.71,5.71,5.71,5.71,5.71,5.71
23-04-23,0.43,0.43,0.43,5.71,5.71,5.71,5.71,5.71
24-04-23,0.43,0.43,0.43,0.43,5.71,5.71,5.71,5.71
25-04-23,0.43,0.43,0.43,0.43,0.43,5.71,5.71,5.71
26-04-23,0.43,0.43,0.43,0.43,0.43,0.43,5.71,5.71
27-04-23,0.43,0.43,0.43,0.43,0.43,0.43,0.43,5.71
28-04-23,0.29,0.43,0.43,0.43,0.43,0.43,0.43,0.43
29-04-23,0.29,0.29,0.43,0.43,0.43,0.43,0.43,0.43
30-04-23,0.29,0.29,0.29,0.43,0.43,0.43,0.43,0.43
01-05-23,0.29,0.29,0.29,0.29,0.43,0.43,0.43,0.43
02-05-23,0.29,0.29,0.29,0.29,0.29,0.43,0.43,0.43
